,datetime,open,high,low,close
0,2021-04-05 00:00:00,58242.35156,58346.00000,58242.35156,58296.51953
1,2021-04-05 00:05:00,58291.85156,58291.85156,58153.23047,58153.23047
2,2021-04-05 00:10:00,58108.87109,58108.87109,58000.01172,58031.94141
3,2021-04-05 00:15:00,58041.98047,58139.00000,58041.98047,58139.00000
4,2021-04-05 00:20:00,58148.44141,58226.92188,58148.44141,58163.33984
5,2021-04-05 00:25:00,58132.50000,58132.50000,58110.57031,58118.53906
6,2021-04-05 00:30:00,58162.64844,58162.64844,58062.23047,58076.75000
7,2021-04-05 00:35:00,58095.69141,58126.17188,58032.89062,58050.00000
8,2021-04-05 00:40:00,58026.48828,58033.05859,57962.80859,57962.80859
9,2021-04-05 00:45:00,57985.39062,58060.53906,57969.85156,57984.26172
10,2021-04-05 00:50:00,57970.01172,57972.51172,57948.10156,57948.10156
11,2021-04-05 00:55:00,57983.30078,57983.30078,57894.87109,57894.87109
12,2021-04-05 01:00:00,57838.37109,57838.37109,57746.25000,57816.26172
13,2021-04-05 01:05:00,57760.48047,57811.37109,57694.12109,57720.53125
14,2021-04-05 01:10:00,57763.17188,57795.00000,57763.17188,57783.78906
15,2021-04-05 01:15:00,57780.07031,57826.00000,57751.82031,57756.80078
16,2021-04-05 01:20:00,57765.37891,57800.46875,57753.17188,57780.76953
17,2021-04-05 01:25:00,57752.39062,57821.92188,57752.39062,57786.37891
18,2021-04-05 01:30:00,57797.92969,57801.96875,57741.21875,57764.26953
19,2021-04-05 01:35:00,57789.19141,57880.14844,57789.19141,57870.00000
20,2021-04-05 01:40:00,57842.46094,57842.46094,57811.57812,57811.57812
21,2021-04-05 01:45:00,57801.42188,57805.03906,57768.32031,57785.50000
22,2021-04-05 01:50:00,57787.87891,57787.87891,57684.78125,57684.78125
23,2021-04-05 01:55:00,57683.07812,57767.94141,57683.07812,57767.94141
24,2021-04-05 02:00:00,57727.53906,57727.53906,57510.07812,57590.00000
25,2021-04-05 02:05:00,57600.00000,57699.26172,57600.00000,57699.26172
26,2021-04-05 02:10:00,57681.28125,57742.41016,57663.16016,57663.16016
27,2021-04-05 02:15:00,57670.44141,57716.60938,57660.64062,57694.23828
28,2021-04-05 02:20:00,57613.41016,57649.28125,57571.89062,57619.19922
29,2021-04-05 02:25:00,57598.03125,57665.25000,57569.98828,57653.71875
30,2021-04-05 02:30:00,57635.66016,57746.51953,57623.51953,57714.33984
