Date,Open,High,Low,Close,Adj Close,Volume
2022-06-10,724.750000,728.299988,718.000000,720.000000,715.705078,7990818
2022-06-13,702.250000,702.299988,682.099976,688.000000,683.895935,16622521
2022-06-14,682.400024,694.650024,680.650024,685.500000,681.410889,13348598
2022-06-15,687.500000,696.349976,686.099976,687.250000,683.150452,9199591
2022-06-16,700.000000,700.049988,676.299988,678.500000,674.452637,13237239
2022-06-17,671.250000,692.650024,669.950012,686.849976,682.752808,16335613
2022-06-20,686.000000,687.799988,677.599976,685.950012,681.858215,10981042
2022-06-21,690.549988,708.000000,688.599976,696.099976,691.947632,13319648
2022-06-22,694.250000,698.900024,685.099976,686.599976,682.504272,6838249
2022-06-23,690.200012,706.000000,687.000000,699.150024,694.979492,14960412
2022-06-24,710.900024,715.250000,706.549988,713.450012,709.194153,10856736
2022-06-27,728.849976,728.849976,716.099976,717.349976,713.070862,8285225
2022-06-28,711.049988,717.299988,707.000000,710.299988,706.062927,8339931
2022-06-29,704.950012,706.700012,700.950012,702.750000,698.557983,9570557
2022-06-30,702.750000,711.900024,701.200012,707.200012,702.981445,11970404
2022-07-01,703.450012,706.750000,694.099976,703.900024,699.701111,9884899
2022-07-04,704.849976,721.099976,704.849976,720.099976,715.804443,8303732
2022-07-05,723.049988,732.150024,718.099976,719.450012,715.158386,11460367
2022-07-06,723.000000,731.900024,722.000000,725.950012,721.619568,12163533
2022-07-07,735.950012,744.000000,733.000000,742.000000,737.573853,10374018
2022-07-08,751.299988,757.500000,744.549988,755.700012,751.192139,9797700
2022-07-11,755.000000,771.549988,755.000000,769.500000,764.909790,12440573
2022-07-12,765.349976,767.450012,757.700012,759.900024,755.367065,10219829
2022-07-13,764.750000,764.750000,749.900024,753.200012,748.707031,8674121
2022-07-14,750.000000,759.500000,748.799988,752.400024,747.911804,7044542
2022-07-15,753.250000,759.000000,744.200012,751.200012,746.718994,6358018
2022-07-18,759.250000,773.150024,757.849976,772.000000,767.394897,8045363
2022-07-19,767.799988,782.000000,767.150024,780.650024,775.993286,12825591
2022-07-20,789.500000,789.549988,780.299988,783.099976,778.428650,8152179
2022-07-21,784.900024,788.950012,780.099976,786.000000,781.311401,8312338
2022-07-22,789.099976,803.900024,789.099976,800.049988,795.277527,12267898
2022-07-25,803.000000,817.799988,797.099976,800.900024,796.122498,21034148
2022-07-26,801.599976,802.799988,791.650024,796.299988,791.549927,7374145
2022-07-27,795.000000,803.799988,794.650024,800.500000,795.724854,9536564
2022-07-28,806.950012,815.500000,805.299988,814.599976,809.740723,11124518
2022-07-29,820.650024,823.400024,808.000000,818.599976,813.716858,11095993
2022-08-01,820.700012,825.000000,817.299988,823.400024,818.488281,7974903
2022-08-02,820.000000,822.000000,812.200012,817.750000,812.872009,11106772
2022-08-03,817.750000,828.000000,811.549988,824.799988,819.879883,11073975
2022-08-04,824.000000,829.950012,808.349976,820.250000,815.357056,11113742
2022-08-05,823.099976,840.900024,823.099976,838.200012,833.200012,16056522
2022-08-08,836.599976,842.299988,831.150024,836.950012,836.950012,12142951
2022-08-10,842.150024,853.000000,842.150024,848.750000,848.750000,23658553
2022-08-11,860.049988,866.500000,858.099976,859.700012,859.700012,22787391
2022-08-12,863.950012,877.250000,858.500000,874.400024,874.400024,10792853
2022-08-16,881.450012,884.500000,876.400024,879.250000,879.250000,13804836
2022-08-17,881.799988,885.500000,878.400024,883.250000,883.250000,9058040
2022-08-18,880.549988,887.650024,875.049988,885.099976,885.099976,13137856
2022-08-19,885.000000,886.900024,864.299988,870.400024,870.400024,10787199
